axis,fpr,tpr,threshold
I/E,0.0546448087431694,0.1767489448778616,0.7582335529352839
I/E,0.05510018214936248,0.1767489448778616,0.7582326801270852
I/E,0.05510018214936248,0.17726051924798567,0.7579469953805695
I/E,0.05555555555555555,0.17726051924798567,0.7578474588538796
I/E,0.05555555555555555,0.1775163064330477,0.7577803157150823
I/E,0.056010928961748634,0.1775163064330477,0.7576965442157897
I/E,0.056010928961748634,0.17956260391354392,0.756363260888664
I/E,0.056466302367941715,0.17956260391354392,0.7563632187161774
I/E,0.056466302367941715,0.18084153983885407,0.7557023252650223
I/E,0.05692167577413479,0.18084153983885407,0.7556873397051914
I/E,0.05692167577413479,0.1810973270239161,0.7555869696044404
I/E,0.05737704918032787,0.1810973270239161,0.755566417786234
I/E,0.05737704918032787,0.1821204757641642,0.7550552619888968
I/E,0.05874316939890711,0.1821204757641642,0.7547381029500965
I/E,0.05874316939890711,0.18250415654175725,0.7543912266490916
I/E,0.05965391621129326,0.18250415654175725,0.7542984783217477
I/E,0.05965391621129326,0.18455045402225348,0.7530151202817097
I/E,0.060109289617486336,0.18455045402225348,0.7530127720027728
I/E,0.060109289617486336,0.18672464509528072,0.7522312788239914
I/E,0.06147540983606557,0.18672464509528072,0.7520384270369309
I/E,0.06147540983606557,0.18800358102059087,0.751562304894183
I/E,0.061930783242258654,0.18800358102059087,0.7515442021310872
I/E,0.061930783242258654,0.189282516945901,0.7511196294455965
I/E,0.06238615664845173,0.189282516945901,0.7510586137867948
I/E,0.06238615664845173,0.18979409131602507,0.750650342975495
I/E,0.06284153005464481,0.18979409131602507,0.750523488957045
I/E,0.06284153005464481,0.1901777720936181,0.7504507335027193
I/E,0.06375227686703097,0.1901777720936181,0.7502972257213709
I/E,0.06375227686703097,0.19132881442639724,0.749775402086026
I/E,0.06466302367941712,0.19132881442639724,0.7497368778721675
I/E,0.06466302367941712,0.19388668627701752,0.7482145480901681
I/E,0.0651183970856102,0.19388668627701752,0.7480997868792422
I/E,0.0651183970856102,0.19439826064714158,0.7477806923130884
I/E,0.06557377049180328,0.19439826064714158,0.7477325482668393
I/E,0.06557377049180328,0.1945261542396726,0.7475215106208237
I/E,0.06602914389799636,0.1945261542396726,0.7472898537892243
I/E,0.06602914389799636,0.19670034531269984,0.7462554560351935
I/E,0.06648451730418943,0.19670034531269984,0.7461624262432976
I/E,0.06648451730418943,0.1973398132753549,0.7455399065750816
I/E,0.06693989071038252,0.1973398132753549,0.745408459509821
I/E,0.06693989071038252,0.19785138764547897,0.7450270023989547
I/E,0.06739526411657559,0.19785138764547897,0.7449827708501006
I/E,0.06739526411657559,0.198235068423072,0.7448892324764229
I/E,0.06830601092896176,0.198235068423072,0.7445989932700027
I/E,0.06830601092896176,0.19874664279319607,0.7442751971397922
I/E,0.06876138433515483,0.19874664279319607,0.7442696026207781
I/E,0.06876138433515483,0.20053715308863027,0.7431935678205728
I/E,0.06967213114754098,0.20053715308863027,0.7431142679920009
I/E,0.06967213114754098,0.2025834505691265,0.7423529647442827
I/E,0.07012750455373407,0.2025834505691265,0.7422420270317747
I/E,0.07012750455373407,0.2027113441616575,0.7421602999655753
I/E,0.07058287795992714,0.2027113441616575,0.7421004456719561
I/E,0.07058287795992714,0.20322291853178157,0.741848339586959
I/E,0.07103825136612021,0.20322291853178157,0.7418358285178307
I/E,0.07103825136612021,0.20603657756746388,0.7407195732039616
I/E,0.0714936247723133,0.20603657756746388,0.7406065531179776
I/E,0.0714936247723133,0.207059726307712,0.7401829230608197
I/E,0.07194899817850638,0.207059726307712,0.7401822704026403
I/E,0.07194899817850638,0.20846655582555315,0.7393231321978234
I/E,0.07240437158469945,0.20846655582555315,0.7393053736905794
I/E,0.07240437158469945,0.2115360020462975,0.7380929235173443
I/E,0.07285974499089254,0.2115360020462975,0.7380381369712552
I/E,0.07285974499089254,0.2119196828238905,0.7378545672017888
I/E,0.07331511839708561,0.2119196828238905,0.7378398423429969
I/E,0.07331511839708561,0.21243125719401457,0.7375960289485054
I/E,0.07377049180327869,0.21243125719401457,0.7375837134313461
I/E,0.07377049180327869,0.21345440593426268,0.7371339101167049
I/E,0.07468123861566485,0.21345440593426268,0.7370899580193213
I/E,0.07468123861566485,0.21422176748944877,0.7370073968244012
I/E,0.07513661202185792,0.21422176748944877,0.7369830252895101
I/E,0.07513661202185792,0.21575649059982094,0.7362872943673809
I/E,0.075591985428051,0.21575649059982094,0.7362651444061492
I/E,0.075591985428051,0.21601227778488297,0.7362414008492676
I/E,0.07604735883424409,0.21601227778488297,0.7361248921914565
I/E,0.07604735883424409,0.21665174574753804,0.7358973547106988
I/E,0.07695810564663023,0.21665174574753804,0.7357042979902292
I/E,0.07695810564663023,0.21793068167284818,0.7350203302189942
I/E,0.07741347905282331,0.21793068167284818,0.7348926525565628
